name,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
"Kinderszenen, Op. 15: 7. Träumerei (Arr. Cello & Piano)",Robert Schumann,6m0qfLKZU7hxJL3KzzfFof,0.14,0.0173,0.45454545454545453,0.43667148198504413,1,0.0478,0.986,0.946,0.0756,0.122,0.30379332600059994,0.03985214848141456,0.6,classical
Rejuvenation Agenda - Live,Gerald Clayton,4eASD8fPHAR9JmxgCJF1Ms,0.494,0.389,0.8181818181818182,0.7049201223657375,0,0.0345,0.8290000000000001,0.903,0.6890000000000001,0.18100000000000002,0.43343271914116116,0.11596738576047728,0.8,jazz
How Do You Want It,2Pac,1eduDdsjMO7Or4EXnMf2iS,0.763,0.84,0.7272727272727273,0.9283650577838205,1,0.0929,0.0346,0.0,0.0601,0.748,0.42031561054095573,0.07279930093897728,0.8,hiphop
Berceuse (Arr. For viola and piano),Frank Bridge,6tWg05l8fgCms52XX9qI2C,0.0882,0.00626,0.9090909090909091,0.26023963290278707,1,0.040999999999999995,0.99,0.92,0.0756,0.12300000000000001,0.38074612077193687,0.052184523590642844,0.6,classical
It Must Be True Love,Toots & The Maytals,4fs7A0HgWe9guaNh3jPBFz,0.873,0.34600000000000003,0.8181818181818182,0.7227226376614547,1,0.114,0.38799999999999996,0.0044,0.308,0.938,0.5468598023798052,0.0494072549756589,0.8,reggae
Have Some Mercy,Delroy Wilson,4vHht02zVM8vnK8I3gwhX7,0.696,0.5489999999999999,0.45454545454545453,0.8194892929979606,1,0.0824,0.599,1.73e-05,0.131,0.8009999999999999,0.341431155632721,0.04995743149530399,0.8,reggae
Big Belly Man,Mac Fingal,552bqW6i9i7oleuikwU7jg,0.813,0.9590000000000001,0.2727272727272727,0.9011301835486063,0,0.0944,0.036000000000000004,0.0,0.0711,0.77,0.6455153669245244,0.07432632148329835,0.8,reggae
Lip,His Name Is Alive,26eNgATTW7K0N1QjWHnyjf,0.5670000000000001,0.545,0.8181818181818182,0.6401894969408565,0,0.0323,0.00489,0.835,0.106,0.648,0.5326927796816625,0.04247952206502581,0.8,rock
I Wanna Be Okay,Blindlove,2uof4AJBrq12JusiOjXN7g,0.449,0.652,0.18181818181818182,0.8987720938137321,1,0.0269,0.00628,1.72e-06,0.33299999999999996,0.133,0.7186821078275414,0.054578352855710874,0.8,rock
I'm Old Fashioned - Remastered 2003/Rudy Van Gelder Edition,John Coltrane,5p95DUZplmVxY0XCQ3hxUV,0.39399999999999996,0.23,0.2727272727272727,0.7845215839564922,1,0.0348,0.9309999999999999,0.49700000000000005,0.0662,0.358,0.3559663300275432,0.12619252865900368,0.8,jazz
All Human Beings (Voiceless Mix) - Pt. 3,Max Richter,0vNkPOTQTRIEzGXQ5gTdyB,0.166,0.27899999999999997,0.18181818181818182,0.6283778042148198,1,0.0415,0.48700000000000004,0.9640000000000001,0.122,0.0351,0.3730376605550455,0.03993074512707814,1.0,classical
Isolation,Killstation,0y28mvm4HV0UpMGJHIg30l,0.302,0.45299999999999996,0.9090909090909091,0.8058081237253569,1,0.0561,0.496,8.68e-06,0.113,0.163,0.3418083974947504,0.042079521279059354,0.2,rock
Everybody Wants To Rule The World,Tears For Fears,4RvWPyQ5RL0ao9LPZeSouE,0.645,0.795,0.6363636363636364,0.7501062202583277,1,0.0527,0.34700000000000003,0.00389,0.10400000000000001,0.535,0.5093537801452609,0.06267773719134326,0.8,rock
Prisoner (feat. Dua Lipa),Miley Cyrus,5JqZ3oqF00jkT81foAFvqg,0.7809999999999999,0.67,0.2727272727272727,0.9239462950373896,0,0.0452,0.0103,0.0,0.0761,0.595,0.5817251315801434,0.03961635854442381,0.8,hiphop
No Hard Feelings,Elaquent,3euwxpQ0BRPGxy8qg1zijH,0.836,0.342,0.9090909090909091,0.8046821889870837,0,0.441,0.327,0.000342,0.107,0.679,0.3860456871710497,0.05235098005806608,0.8,hiphop
Last Nite,The Strokes,3SUusuA9jH1v6PVwtYMbdv,0.624,0.899,0.0,0.88574949014276,1,0.0295,0.0223,0.000155,0.0975,0.797,0.47293857775272935,0.04636444197925441,0.8,rock
Citadel,The Rolling Stones,1LP4ukbT3JGasxcDpesVtb,0.253,0.586,0.8181818181818182,0.7884304894629505,1,0.0394,0.0653,6.73e-05,0.1,0.64,0.5244889054531903,0.040024499697262565,0.8,rock
The Jean Genie - 2013 Remastered Version,David Bowie,3GGkKcUEC4xMxbJ9HEjWNg,0.583,0.612,0.8181818181818182,0.8561990142760028,1,0.0311,0.355,8.55e-06,0.444,0.774,0.5829159432410076,0.06154398057764605,0.8,rock
Fisher Man Dub,"Lee ""Scratch"" Perry",50QPOvKYebMWt8EBckwSyl,0.73,0.584,0.6363636363636364,0.8489760367097212,1,0.0486,0.0238,0.0798,0.107,0.414,0.3807370306065867,0.05346817523571274,0.8,reggae
What A Little Moonlight Can Do,Billie Holiday,3pTA4IxvtoKl0cYYJ3jzA2,0.562,0.45899999999999996,0.45454545454545453,0.7602396329027872,1,0.0666,0.9420000000000001,1.04e-05,0.094,0.872,0.6107636647910625,0.04565342303830492,0.8,jazz
Claire de Lune,Claude Debussy,3Vo5NwAezmRMP2aH2xQVm1,0.0838,0.19899999999999998,0.09090909090909091,0.7150747790618627,1,0.0385,0.972,0.914,0.10400000000000001,0.0373,0.7749093256006327,0.0763586061783139,0.6,classical
Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,2r6OAV3WsYtXuXjvJ1lIDi,0.905,0.647,0.9090909090909091,0.8994519034670293,0,0.107,0.0187,0.0,0.282,0.36700000000000005,0.595269477951804,0.04556752813268686,0.8,hiphop
Stray Bullit Woman,Greenleaf,6U7yjgpweQna55cfWEZXIk,0.47700000000000004,0.648,0.5454545454545454,0.84375,1,0.0498,0.0254,0.0184,0.115,0.5710000000000001,0.407934805334109,0.044137630586221506,0.8,rock
"Ain't No Fun (If the Homies Cant Have None) (feat. Nate Dogg, Warren G & Kurupt)",Snoop Dogg,4rLpAOk5KVNcqEMK3m6Lje,0.84,0.7979999999999999,0.7272727272727273,0.8991544867437118,1,0.0699,0.045,4.3200000000000007e-05,0.172,0.695,0.4553036569735203,0.061234365934192715,0.8,hiphop
