Position,Track Name,Artist,Streams,date,region,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Top_50_Appearnces
27.0,Cheap Thrills,Sia,1238279.0,2017-01-01,global,27SdWb2rFzO6GWiYDBTD9j,0.628,0.698,6.0,-5.608,0.0,0.105,0.0472,0.00143,0.0907,0.732,89.976,14
28.0,All We Know,The Chainsmokers,1238138.0,2017-01-01,global,2rizacJSyD9S1IQUxUxnsK,0.662,0.586,0.0,-8.821,1.0,0.0307,0.09699999999999999,0.0027199999999999998,0.115,0.29600000000000004,90.0,41
29.0,Mercy,Shawn Mendes,1215550.0,2017-01-01,global,4TZy1wLyHec06pwgFYDh1a,0.469,0.68,11.0,-4.921,0.0,0.11699999999999999,0.13699999999999998,0.0,0.11,0.374,147.734,44
30.0,Reggaetón Lento (Bailemos),CNCO,1164530.0,2017-01-01,global,3AEZUABDXNtecAOSC1qTfo,0.7609999999999999,0.838,4.0,-3.073,0.0,0.0502,0.4,0.0,0.17600000000000002,0.71,93.97399999999999,60
31.0,Broccoli (feat. Lil Yachty),Shelley FKA DRAM,1149938.0,2017-01-01,global,7yyRTcZmCiyzzJlNzGC9Ol,0.8859999999999999,0.525,8.0,-7.39,1.0,0.131,0.23600000000000002,0.0,0.057,0.708,145.99,16
32.0,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,1112074.0,2017-01-01,global,17Fd6Yb7mSbinKG8LoWfFl,0.6629999999999999,0.713,7.0,-6.647,0.0,0.11199999999999999,0.0353,7.68e-06,0.0843,0.69,101.965,8
33.0,Safari,J Balvin,1112032.0,2017-01-01,global,6rQSrBHf7HlZjtcMZ4S4bO,0.508,0.687,0.0,-4.361000000000001,1.0,0.326,0.551,3.41e-06,0.126,0.555,180.044,26
34.0,This Is What You Came For (feat. Rihanna),Calvin Harris,1094062.0,2017-01-01,global,0azC730Exh71aQlOt9Zj3y,0.63,0.9279999999999999,9.0,-2.787,0.0,0.0331,0.19899999999999998,0.124,0.14800000000000002,0.465,123.963,5
35.0,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,1059658.0,2017-01-01,global,4tCtwWceOPWzenK2HAIJSb,0.8029999999999999,0.585,8.0,-5.861000000000001,1.0,0.0432,0.10300000000000001,3.94e-06,0.0644,0.593,105.01700000000001,3
36.0,Scars To Your Beautiful,Alessia Cara,1031598.0,2017-01-01,global,0prNGof3XqfTvNDxHonvdK,0.573,0.7390000000000001,0.0,-5.74,1.0,0.129,0.0285,0.0,0.111,0.451,97.085,33
37.0,Vente Pa' Ca (feat. Maluma),Ricky Martin,1016899.0,2017-01-01,global,7DM4BPaS7uofFul3ywMe46,0.6629999999999999,0.92,11.0,-4.07,0.0,0.226,0.0043100000000000005,1.6899999999999997e-05,0.10099999999999999,0.5329999999999999,99.935,5
38.0,All Night,The Vamps,1003894.0,2017-01-01,global,4b4KcovePX8Ke2cLIQTLM0,0.544,0.809,8.0,-5.098,1.0,0.0363,0.0038,0.0,0.32299999999999995,0.44799999999999995,145.017,4
39.0,By Your Side,Jonas Blue,971615.0,2017-01-01,global,1D3ODoXHBLpdxolZRHWV1j,0.696,0.743,6.0,-3.838,1.0,0.0331,0.0778,0.0,0.0581,0.644,122.978,31
40.0,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,971342.0,2017-01-01,global,68EMU2RD1ECNeOeJ5qAXCV,0.728,0.563,1.0,-8.052999999999999,0.0,0.134,0.621,0.0,0.179,0.35200000000000004,100.01700000000001,26
41.0,Caroline,Aminé,963128.0,2017-01-01,global,7FB8l7UA1HKqnuSLjP9qDc,0.9520000000000001,0.318,10.0,-10.357000000000001,1.0,0.467,0.174,0.0,0.205,0.665,120.07700000000001,3
42.0,Now and Later,Sage The Gemini,959972.0,2017-01-01,global,08WPvDEsHvTFuB9w8tC2OS,0.7809999999999999,0.57,11.0,-5.874,0.0,0.188,0.273,0.0,0.196,0.858,107.059,4
43.0,Love Me Now,John Legend,950832.0,2017-01-01,global,6nxQdXa1uAL0rY72wPZu89,0.488,0.762,8.0,-3.842,1.0,0.0865,0.591,0.0,0.0763,0.7090000000000001,123.889,46
44.0,The Mack,Nevada,949200.0,2017-01-01,global,7aV2mflaASUmGhCErm7kBO,0.7070000000000001,0.883,0.0,-4.281000000000001,1.0,0.0602,0.0707,0.0,0.23,0.541,106.031,11
45.0,Alone,Alan Walker,936813.0,2017-01-01,global,0JiVRyTJcJnmlwCZ854K4p,0.6759999999999999,0.929,10.0,-3.194,1.0,0.0458,0.18600000000000003,0.000405,0.121,0.157,97.01899999999999,44
46.0,Work,Rihanna,899368.0,2017-01-01,global,14WWzenpaEgQZlqPq2nk4v,0.725,0.534,11.0,-6.2379999999999995,1.0,0.0946,0.0752,0.0,0.0919,0.5579999999999999,91.97399999999999,1
48.0,I Would Like,Zara Larsson,892922.0,2017-01-01,global,4Q4jmPHwu0wrJvqrld0FQ6,0.486,0.713,2.0,-3.949,0.0,0.0524,0.0853,0.0,0.0839,0.297,121.02799999999999,53
49.0,Hear Me Now,Alok,873494.0,2017-01-01,global,1a5Yu5L18qNxVhXx38njON,0.7879999999999999,0.43,11.0,-7.757000000000001,1.0,0.0419,0.537,0.0026100000000000003,0.0936,0.461,121.99600000000001,60
50.0,Shed a Light,Robin Schulz,868259.0,2017-01-01,global,1cG0umU5TKStygKsPFZ9pY,0.483,0.787,8.0,-5.244,1.0,0.102,0.11199999999999999,0.0,0.257,0.58,122.05799999999999,60
51.0,Bounce Back,Big Sean,859929.0,2017-01-01,global,0SGkqnVQo9KPytSri1H6cF,0.78,0.575,1.0,-5.627999999999999,0.0,0.139,0.106,0.0,0.129,0.273,81.502,68
53.0,Cake By The Ocean,DNCE,830889.0,2017-01-01,global,2aFiaMXmWsM3Vj72F9ksBl,0.774,0.764,4.0,-5.445,0.0,0.0518,0.156,0.0,0.0383,0.912,118.99700000000001,0
54.0,Party Monster,The Weeknd,829599.0,2017-01-01,global,4F7A0DXBrmUAkp32uenhZt,0.573,0.63,1.0,-8.389,1.0,0.105,0.18899999999999997,2.3100000000000002e-05,0.259,0.218,77.525,0
55.0,Sorry,Justin Bieber,827170.0,2017-01-01,global,69bp2EbF7Q2rqc5N3ylezZ,0.654,0.76,0.0,-3.6689999999999996,0.0,0.045,0.0797,0.0,0.299,0.41,99.945,0
56.0,Ride,Twenty One Pilots,825398.0,2017-01-01,global,2Z8WuEywRWYTKe1NybPQEW,0.645,0.713,6.0,-5.355,1.0,0.0393,0.00835,0.0,0.113,0.5660000000000001,74.98899999999999,0
57.0,La Bicicleta,Carlos Vives,810362.0,2017-01-01,global,0sXvAOmXgjR2QUqLK1MltU,0.736,0.9640000000000001,0.0,-2.147,1.0,0.129,0.198,2.32e-06,0.336,0.953,179.935,0
58.0,Perfect Strangers,Jonas Blue,806283.0,2017-01-01,global,5bZtRlMBU76vHuDOb1GM5u,0.7390000000000001,0.833,1.0,-5.012,1.0,0.0463,0.35,0.0,0.266,0.6990000000000001,117.99,0
59.0,Panda,Desiigner,788804.0,2017-01-01,global,5OOkp4U9P9oL23maHFHL1h,0.5760000000000001,0.7659999999999999,10.0,-4.9430000000000005,0.0,0.449,0.027999999999999997,1.68e-06,0.366,0.23600000000000002,144.833,0
60.0,Too Good,Drake,786785.0,2017-01-01,global,11KJSRSgaDxqydKYiD2Jew,0.804,0.648,7.0,-7.805,1.0,0.11699999999999999,0.0573,3.4899999999999995e-05,0.102,0.392,117.98299999999999,0
61.0,"How Far I'll Go - From ""Moana""",Alessia Cara,778773.0,2017-01-01,global,5hYTyyh2odQKphUbMqc5gN,0.314,0.555,9.0,-9.601,1.0,0.37,0.157,0.00010800000000000001,0.067,0.159,179.666,94
62.0,Sexual,NEIKED,770804.0,2017-01-01,global,3AsAuGTaDQzavZZThyYlop,0.8029999999999999,0.569,2.0,-7.392,1.0,0.0739,0.0623,0.0,0.083,0.809,107.986,0
63.0,Into You,Ariana Grande,762502.0,2017-01-01,global,7yHEDfrJNd0zWOfXwydNH0,0.636,0.727,9.0,-5.852,1.0,0.106,0.0161,1.12e-06,0.151,0.358,107.988,0
64.0,Stressed Out,Twenty One Pilots,758614.0,2017-01-01,global,3CRDbSIZ4r5MsZ0YwxuEkn,0.7340000000000001,0.637,4.0,-5.6770000000000005,0.0,0.141,0.0462,2.2899999999999998e-05,0.0602,0.648,169.977,0
66.0,Shaky Shaky,Daddy Yankee,735912.0,2017-01-01,global,58IL315gMSTD37DOZPJ2hf,0.899,0.626,6.0,-4.228,0.0,0.292,0.076,0.0,0.0631,0.873,88.007,0
67.0,Faded,Alan Walker,713049.0,2017-01-01,global,7gHs73wELdeycvS48JfIos,0.589,0.6509999999999999,6.0,-5.0969999999999995,1.0,0.0306,0.0291,3.2e-06,0.111,0.166,90.01100000000001,0
68.0,The Greatest (feat. Kendrick Lamar),Sia,709411.0,2017-01-01,global,7xHWNBFm6ObGEQPaUxHuKO,0.6679999999999999,0.725,1.0,-6.127000000000001,1.0,0.266,0.0102,0.000479,0.0561,0.7290000000000001,191.94400000000002,18
69.0,Controlla,Drake,687222.0,2017-01-01,global,6F609ICg9Spjrw1epsAnpa,0.607,0.47600000000000003,10.0,-11.075999999999999,0.0,0.249,0.0773,0.0,0.113,0.34700000000000003,122.976,0
70.0,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,686053.0,2017-01-01,global,0L7loeTIg6akW84aEQZpCT,0.746,0.877,9.0,-3.782,0.0,0.0666,0.0375,0.000833,0.233,0.7509999999999999,107.985,0
71.0,Traicionera,Sebastian Yatra,685732.0,2017-01-01,global,5J1c3M4EldCfNxXwrwt8mT,0.7759999999999999,0.669,11.0,-4.933,1.0,0.0638,0.142,0.0,0.21899999999999997,0.6609999999999999,91.012,0
72.0,X (feat. Future),21 Savage,673320.0,2017-01-01,global,6fwdbPMwP1zVStm8FybmkO,0.835,0.413,1.0,-9.81,1.0,0.396,0.373,0.00133,0.10099999999999999,0.111,149.004,0
73.0,Send My Love (To Your New Lover),Adele,672465.0,2017-01-01,global,4BHzQ9C00ceJxfG16AlNWb,0.69,0.524,6.0,-8.39,0.0,0.10300000000000001,0.0415,3.16e-06,0.17,0.562,164.023,0
